Section,Beam Mark,Width_mm,Depth_mm,Prov_BotBar_No,Prov_BotBar_Dia_mm,Prov_BotBar_Area_mm2,Positive_Moment_kNm,Min_BotBar_mm2,Min_BotBar_Area-crk_mm2,Req_BotBar_Area_cl6.1_mm2,Req_BotBar_Area_mm2,BotBar_utilisation,BotBar _Design_Status,BotBar_Spacing,Prov_TopBar_No,Prov_TopBar_Dia_mm,Prov_TopBar_Area_mm2,Negative_Moment_kNm,Min_TopBar_mm2,Min_TopBar_Area-crk_mm2,Req_TopBar_Area_cl6.1_mm2,Req_TopBar_Area_Req_mm2,TopBar_utilisation,TopBar_Design_Status,TopBar_Spacing_mm,ShearForce_kN,ShearBar_leg_nos,ShearBar_Dia_mm,ShearBar_Spacing_mm,ShearBar_Prov_Asv_mm2perm,Ved_Prov_kN,Ved_Req_kN,Ved_utilisation,Shear_Design_Status,Source_File
1,2B10-S1-L,125,450,1 layer x 2no,2T20,628,53,68,76,299,299,0.476,PASS,FAIL,1 layer x 2no,2T16,402,24,69,78,129,129,0.321,PASS,PASS,,2,6,175,323.1352444,67,53,0.791044776,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
2,2B10-S1-M,125,450,2 layer x 2no,2T20 + 2T20,1257,77,64,74,496,496,0.395,PASS,FAIL,1 layer x 2no,2T16,402,25,69,78,134,134,0.333,PASS,PASS,,2,6,175,323.1352444,67,53,0.791044776,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
3,2B10-S1-R,125,450,2 layer x 2no,2T20 + 2T20,1257,47,64,74,280,280,0.223,PASS,FAIL,2 layer x 2no,2T20 + 2T16,1030,94,65,75,625,625,0.607,PASS,FAIL,,2,6,175,323.1352444,67,53,0.791044776,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
4,2B10-S2-L,125,450,1 layer x 2no,2T20,628,48,68,76,268,268,0.427,PASS,FAIL,2 layer x 2no,2T20 + 2T16,1030,95,65,75,633,633,0.615,PASS,FAIL,,2,6,175,323.1352444,67,53,0.791044776,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
5,2B10-S2-M,125,450,1 layer x 2no,2T20,628,68,68,76,396,396,0.631,PASS,FAIL,1 layer x 2no,2T16,402,24,69,78,129,129,0.321,PASS,PASS,,2,6,175,323.1352444,67,53,0.791044776,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
6,2B10-S2-R,125,450,1 layer x 2no,2T20,628,41,68,76,226,226,0.36,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,82,66,76,513,513,0.6,PASS,FAIL,,2,6,175,323.1352444,67,53,0.791044776,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
7,2B10-S3-L,125,450,1 layer x 2no,2T20,628,41,68,76,226,226,0.36,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,82,66,76,513,513,0.6,PASS,FAIL,,2,6,175,323.1352444,67,49,0.731343284,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
8,2B10-S3-M,125,450,2 layer x 2no,2T20 + 2T20,1257,62,64,74,383,383,0.305,PASS,FAIL,1 layer x 2no,2T16,402,21,69,78,113,113,0.281,PASS,PASS,,2,6,175,323.1352444,67,49,0.731343284,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
9,2B10-S3-R,125,450,1 layer x 2no,2T20,628,34,68,76,185,185,0.295,PASS,FAIL,1 layer x 2no,2T16,402,26,69,78,140,140,0.348,PASS,PASS,,2,6,175,323.1352444,67,49,0.731343284,PASS,2B10_Beam_Audit_Table R1 No Fill.csv
1,2B16-S1-L,125,450,1 layer x 2no,2T20,628,42,68,76,232,232,0.369,PASS,FAIL,1 layer x 2no,2T12,226,37,69,79,200,200,0.885,PASS,PASS,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
2,2B16-S1-M,125,450,2 layer x 2no,2T20 + 2T16,1030,80,65,75,509,509,0.494,PASS,FAIL,1 layer x 2no,2T12,226,37,69,79,200,200,0.885,PASS,PASS,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
3,2B16-S1-R,125,450,1 layer x 2no,2T20,628,74,68,76,437,437,0.696,PASS,FAIL,2 layer x 2no,2T20 + 2T20,1257,149,64,74,1020,1020,0.811,PASS,FAIL,,2,6,175,323.1352444,67,106,1.582089552,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
4,2B16-S2-L,125,450,2 layer x 2no,2T20 + 2T16,402,57,69,78,322,322,0.801,PASS,PASS,2 layer x 2no,2T20 + 2T20,1257,114,64,74,807,807,0.642,PASS,FAIL,,2,6,175,323.1352444,67,88,1.313432836,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
5,2B16-S2-M,125,450,1 layer x 2no,2T16,402,80,69,78,476,476,1.184,FAIL,PASS,1 layer x 2no,2T12,226,29,69,79,155,155,0.686,PASS,PASS,,2,6,175,323.1352444,67,50,0.746268657,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
6,2B16-S2-R,125,450,1 layer x 2no,2T16,402,57,69,78,322,322,0.801,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,115,66,76,796,796,0.931,PASS,FAIL,,2,6,175,323.1352444,67,88,1.313432836,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
7,2B16-S3-L,125,450,1 layer x 2no,2T16,402,62,69,78,354,354,0.881,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,124,66,76,848,848,0.992,PASS,FAIL,,2,6,175,323.1352444,67,98,1.462686567,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
8,2B16-S3-M,125,450,1 layer x 2no,2T16,402,83,69,78,497,497,1.236,FAIL,PASS,1 layer x 2no,2T12,226,31,69,79,166,166,0.735,PASS,PASS,,2,6,175,323.1352444,67,60,0.895522388,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
9,2B16-S3-R,125,450,1 layer x 2no,2T16,402,62,69,78,354,354,0.881,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,124,66,76,848,848,0.992,PASS,FAIL,,2,6,175,323.1352444,67,98,1.462686567,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
10,2B16-S4-L,125,450,1 layer x 2no,2T16,402,15,69,78,81,81,0.201,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,29,66,76,161,161,0.188,PASS,FAIL,,2,6,175,323.1352444,67,36,0.537313433,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
11,2B16-S4-M,125,450,1 layer x 2no,2T16,402,18,69,78,97,97,0.241,PASS,PASS,1 layer x 2no,2T12,226,8,69,79,43,79,0.35,PASS,PASS,,2,6,175,323.1352444,67,36,0.537313433,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
12,2B16-S4-R,125,450,1 layer x 2no,2T16,402,16,69,78,86,86,0.214,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,31,66,76,173,173,0.202,PASS,FAIL,,2,6,175,323.1352444,67,36,0.537313433,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
13,2B16-S5-L,125,450,1 layer x 2no,2T16,402,61,69,78,347,347,0.863,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,122,66,76,837,837,0.979,PASS,FAIL,,2,6,175,323.1352444,67,93,1.388059701,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
14,2B16-S5-M,125,450,1 layer x 2no,2T16,402,85,69,78,512,512,1.274,FAIL,PASS,1 layer x 2no,2T12,226,32,69,79,171,171,0.757,PASS,PASS,,2,6,175,323.1352444,67,49,0.731343284,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
15,2B16-S5-R,125,450,1 layer x 2no,2T16,402,64,69,78,367,367,0.913,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,128,66,76,872,872,1.02,FAIL,PASS,,2,6,175,323.1352444,67,101,1.507462687,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
16,2B16-S6-L,125,450,1 layer x 2no,2T12,226,37,69,79,200,200,0.885,PASS,PASS,2 layer x 2no,2T20 + 2T12,855,73,66,76,446,446,0.522,PASS,FAIL,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
17,2B16-S6-M,125,450,1 layer x 2no,2T12,226,67,69,79,384,384,1.699,FAIL,PASS,1 layer x 2no,2T20,628,23,68,76,124,124,0.197,PASS,FAIL,,2,6,175,323.1352444,67,50,0.746268657,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
18,2B16-S6-R,125,450,1 layer x 2no,2T12,226,45,69,79,247,247,1.093,FAIL,PASS,1 layer x 2no,2T20,628,91,68,76,561,561,0.893,PASS,FAIL,,2,6,175,323.1352444,67,82,1.223880597,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
19,2B16-S7-L,125,450,1 layer x 2no,2T20,628,75,68,76,444,444,0.707,PASS,FAIL,1 layer x 2no,2T12,226,150,69,79,974,974,4.31,FAIL,PASS,,2,6,175,323.1352444,67,112,1.671641791,FAIL,2B16_Beam_Audit_Table R1 No Fill.csv
20,2B16-S7-M,125,450,1 layer x 2no,2T20,628,113,68,76,746,746,1.188,FAIL,PASS,1 layer x 2no,2T12,226,38,69,79,206,206,0.912,PASS,PASS,,2,6,175,323.1352444,67,60,0.895522388,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
21,2B16-S7-R,125,450,1 layer x 2no,2T20,628,107,68,77,704,704,1.121,FAIL,PASS,2 layer x 2no,2T20 + 2T20,1257,215,64,74,1442,1442,1.147,FAIL,PASS,,2,10,100,1570.796327,325,101,0.310769231,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
22,2B16-S8,125,450,1 layer x 2no,2T16,,,,,,,,PASS,FAIL,2 layer x 2no,2T20 + 2T20,,,,,,,,FAIL,FAIL,,2,10,100,1570.796327,325,167,0.513846154,PASS,2B16_Beam_Audit_Table R1 No Fill.csv
1,2B17-S1-L,125,450,1 layer x 2no,2T20,628,49,85,96,294,294,0.468,PASS,FAIL,1 layer x 2no,2T16,402,22,86,98,130,130,0.323,PASS,PASS,,2,6,175,323.1352444,67,51,0.76119403,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
2,2B17-S1-M,125,450,2 layer x 2no,2T20 + 2T20,1257,70,81,93,466,466,0.371,PASS,FAIL,1 layer x 2no,2T16,402,22,86,98,130,130,0.323,PASS,PASS,,2,6,175,323.1352444,67,51,0.76119403,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
3,2B17-S1-R,125,450,1 layer x 2no,2T20,628,44,85,96,262,262,0.417,PASS,FAIL,2 layer x 2no,2T20 + 2T16,1030,88,82,94,595,595,0.578,PASS,FAIL,,2,6,175,323.1352444,67,51,0.76119403,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
4,2B17-S2-L,125,450,1 layer x 2no,2T20,628,45,85,96,269,269,0.428,PASS,FAIL,2 layer x 2no,2T20 + 2T16,1030,88,82,94,595,595,0.578,PASS,FAIL,,2,6,175,323.1352444,67,52,0.776119403,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
5,2B17-S2-M,125,450,1 layer x 2no,2T20,628,68,85,96,420,420,0.669,PASS,FAIL,1 layer x 2no,2T16,402,22,86,98,130,130,0.323,PASS,PASS,,2,6,175,323.1352444,67,52,0.776119403,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
6,2B17-S2-R,125,450,1 layer x 2no,2T20,628,40,85,96,237,237,0.377,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,80,83,95,522,522,0.611,PASS,FAIL,,2,6,175,323.1352444,67,52,0.776119403,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
7,2B17-S3-L,125,450,1 layer x 2no,2T20,628,40,85,96,237,237,0.377,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,80,83,95,522,522,0.611,PASS,FAIL,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
8,2B17-S3-M,125,450,1 layer x 2no,2T20,628,65,85,96,400,400,0.637,PASS,FAIL,1 layer x 2no,2T16,402,20,86,98,118,118,0.294,PASS,PASS,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
9,2B17-S3-R,125,450,1 layer x 2no,2T20,628,37,85,96,219,219,0.349,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,73,83,95,470,470,0.55,PASS,FAIL,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
10,2B17-S4-L,125,450,1 layer x 2no,2T20,628,37,85,96,219,219,0.349,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,73,83,95,470,470,0.55,PASS,FAIL,,2,6,175,323.1352444,67,44,0.656716418,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
11,2B17-S4-M,125,450,1 layer x 2no,2T20,628,55,85,96,333,333,0.53,PASS,FAIL,1 layer x 2no,2T16,402,19,86,98,112,112,0.279,PASS,PASS,,2,6,175,323.1352444,67,44,0.656716418,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
12,2B17-S4-R,125,450,1 layer x 2no,2T20,628,37,85,96,219,219,0.349,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,74,83,95,478,478,0.559,PASS,FAIL,,2,6,175,323.1352444,67,44,0.656716418,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
13,2B17-S5-L,125,450,1 layer x 2no,2T20,628,37,85,96,219,219,0.349,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,74,83,95,478,478,0.559,PASS,FAIL,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
14,2B17-S5-M,125,450,1 layer x 2no,2T20,628,66,85,96,407,407,0.648,PASS,FAIL,1 layer x 2no,2T16,402,19,86,98,112,112,0.279,PASS,PASS,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
15,2B17-S5-R,125,450,1 layer x 2no,2T20,628,36,85,96,213,213,0.339,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,68,83,95,434,434,0.508,PASS,FAIL,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
16,2B17-S6-L,125,450,1 layer x 2no,2T20,628,34,85,96,201,201,0.32,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,68,83,95,434,434,0.508,PASS,FAIL,,2,6,175,323.1352444,67,36,0.537313433,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
17,2B17-S6-M,125,450,1 layer x 2no,2T20,628,45,85,96,269,269,0.428,PASS,FAIL,1 layer x 2no,2T16,402,17,86,98,100,100,0.249,PASS,PASS,,2,6,175,323.1352444,67,39,0.582089552,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
18,2B17-S6-R,125,450,1 layer x 2no,2T20,628,33,85,96,195,195,0.311,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,66,83,95,420,420,0.491,PASS,FAIL,,2,6,175,323.1352444,67,39,0.582089552,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
19,2B17-S7-L,125,450,1 layer x 2no,2T20,628,32,85,96,189,189,0.301,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,64,83,95,406,406,0.475,PASS,FAIL,,2,6,175,323.1352444,67,43,0.641791045,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
20,2B17-S7-M,125,450,1 layer x 2no,2T20,628,61,85,96,373,373,0.594,PASS,FAIL,1 layer x 2no,2T16,402,16,86,98,94,98,0.244,PASS,PASS,,2,6,175,323.1352444,67,43,0.641791045,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
21,2B17-S7-R,125,450,1 layer x 2no,2T20,628,35,85,96,207,207,0.33,PASS,FAIL,1 layer x 2no,2T20,628,48,85,96,288,288,0.459,PASS,FAIL,,2,6,175,323.1352444,67,43,0.641791045,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
22,2B17-S8-L,125,450,1 layer x 2no,2T12,226,12,86,99,70,99,0.438,PASS,PASS,1 layer x 2no,2T20,628,48,85,96,288,288,0.459,PASS,FAIL,,2,6,175,323.1352444,67,30,0.447761194,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
23,2B17-S8-R,125,450,1 layer x 2no,2T12,226,12,86,99,70,99,0.438,PASS,PASS,1 layer x 2no,2T16,402,12,86,98,71,98,0.244,PASS,PASS,,2,6,175,323.1352444,67,30,0.447761194,PASS,2B17_Beam_Audit_Table R1 No Fill.csv
1,2B18-S1-L,125,450,1 layer x 2no,2T20,628,38,68,76,208,208,0.331,PASS,FAIL,1 layer x 2no,2T16,402,16,69,78,86,86,0.214,PASS,PASS,,2,6,175,323.1352444,67,34,0.507462687,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
2,2B18-S1-M,125,450,2 layer x 2no,2T20 + 2T20,1257,41,64,74,241,241,0.192,PASS,FAIL,1 layer x 2no,2T16,402,16,69,78,86,86,0.214,PASS,PASS,,2,6,175,323.1352444,67,34,0.507462687,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
3,2B18-S1-R,125,450,1 layer x 2no,2T20,628,31,68,76,168,168,0.268,PASS,FAIL,2 layer x 2no,2T20 + 2T16,1030,62,65,75,376,376,0.365,PASS,FAIL,,2,6,175,323.1352444,67,34,0.507462687,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
4,2B18-S2-L,125,450,1 layer x 2no,2T20,628,32,68,76,173,173,0.275,PASS,FAIL,2 layer x 2no,2T20 + 2T16,1030,64,65,75,390,390,0.379,PASS,FAIL,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
5,2B18-S2-M,125,450,1 layer x 2no,2T20,628,64,68,76,369,369,0.588,PASS,FAIL,1 layer x 2no,2T16,402,19,69,78,102,102,0.254,PASS,PASS,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
6,2B18-S2-R,125,450,1 layer x 2no,2T20,628,38,68,76,208,208,0.331,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,76,66,76,468,468,0.547,PASS,FAIL,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
7,2B18-S3-L,125,450,1 layer x 2no,2T20,628,38,68,76,208,208,0.331,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,76,66,76,468,468,0.547,PASS,FAIL,,2,6,175,323.1352444,67,47,0.701492537,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
8,2B18-S3-M,125,450,1 layer x 2no,2T20,628,64,68,76,369,369,0.588,PASS,FAIL,1 layer x 2no,2T16,402,20,69,78,108,108,0.269,PASS,PASS,,2,6,175,323.1352444,67,47,0.701492537,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
9,2B18-S3-R,125,450,1 layer x 2no,2T20,628,39,68,76,214,214,0.341,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,77,66,76,475,475,0.556,PASS,FAIL,,2,6,175,323.1352444,67,47,0.701492537,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
10,2B18-S4-L,125,450,1 layer x 2no,2T20,628,39,68,76,214,214,0.341,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,77,66,76,475,475,0.556,PASS,FAIL,,2,6,175,323.1352444,67,47,0.701492537,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
11,2B18-S4-M,125,450,1 layer x 2no,2T20,628,64,68,76,369,369,0.588,PASS,FAIL,1 layer x 2no,2T16,402,20,69,78,108,108,0.269,PASS,PASS,,2,6,175,323.1352444,67,47,0.701492537,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
12,2B18-S4-R,125,450,1 layer x 2no,2T20,628,40,68,76,220,220,0.35,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,80,66,76,498,498,0.582,PASS,FAIL,,2,6,175,323.1352444,67,47,0.701492537,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
13,2B18-S5-L,125,450,1 layer x 2no,2T20,628,40,68,76,220,220,0.35,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,80,66,76,498,498,0.582,PASS,FAIL,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
14,2B18-S5-M,125,450,1 layer x 2no,2T20,628,64,68,76,369,369,0.588,PASS,FAIL,1 layer x 2no,2T16,402,20,69,78,108,108,0.269,PASS,PASS,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
15,2B18-S5-R,125,450,1 layer x 2no,2T20,628,36,68,76,196,196,0.312,PASS,FAIL,1 layer x 2no,2T20,628,54,68,76,305,305,0.486,PASS,FAIL,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
16,2B18-S6-L,125,450,1 layer x 2no,2T20,628,28,68,76,151,151,0.24,PASS,FAIL,1 layer x 2no,2T20,628,56,68,766,318,766,1.22,FAIL,FAIL,,2,6,175,323.1352444,67,48,0.71641791,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
17,2B18-S6-M,125,450,1 layer x 2no,2T20,628,30,68,76,162,162,0.258,PASS,FAIL,1 layer x 2no,2T16,402,16,69,78,86,86,0.214,PASS,PASS,,2,6,175,323.1352444,67,29,0.432835821,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
18,2B18-S6-R,125,450,1 layer x 2no,2T20,628,31,68,76,168,168,0.268,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,62,66,76,369,369,0.432,PASS,FAIL,,2,6,175,323.1352444,67,29,0.432835821,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
19,2B18-S7-L,125,450,1 layer x 2no,2T20,628,64,68,76,369,369,0.588,PASS,FAIL,2 layer x 2no,2T20 + 2T12,855,34,66,76,190,190,0.222,PASS,FAIL,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
20,2B18-S7-M,125,450,1 layer x 2no,2T20,628,64,68,76,369,369,0.588,PASS,FAIL,1 layer x 2no,2T16,402,16,69,78,86,86,0.214,PASS,PASS,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
21,2B18-S7-R,125,450,1 layer x 2no,2T20,628,36,68,76,196,196,0.312,PASS,FAIL,1 layer x 2no,2T20,628,47,68,76,262,262,0.417,PASS,FAIL,,2,6,175,323.1352444,67,46,0.686567164,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
22,2B18-S8-L,125,450,1 layer x 2no,2T12,226,26,69,79,139,139,0.615,PASS,PASS,1 layer x 2no,2T20,628,51,68,76,286,286,0.455,PASS,FAIL,,2,6,175,323.1352444,67,31,0.462686567,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
23,2B18-S8-R,125,450,1 layer x 2no,2T12,226,12,69,79,64,79,0.35,PASS,PASS,1 layer x 2no,2T16,402,12,69,78,65,78,0.194,PASS,PASS,,2,6,175,323.1352444,67,31,0.462686567,PASS,2B18_Beam_Audit_Table R1 No Fill.csv
1,2B1-S1-L,125,600,1 layer x 2no,2T20,628,66,93,103,263,263,0.419,PASS,FAIL,1 layer x 2no,2T10,157,20,94,107,78,107,0.682,PASS,PASS,55,2,6,175,323.1352444,91,55,0.604395604,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
2,2B1-S1-M,125,600,1 layer x 2no,2T20,628,83,93,103,337,337,0.537,PASS,FAIL,1 layer x 2no,2T10,157,20,94,107,78,107,0.682,PASS,PASS,55,2,6,175,323.1352444,91,55,0.604395604,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
3,2B1-S1-R,125,600,1 layer x 2no,2T20,628,40,93,103,158,158,0.252,PASS,FAIL,1 layer x 2no,2T16,402,80,94,104,322,322,0.801,PASS,PASS,55,2,6,175,323.1352444,91,55,0.604395604,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
4,2B1-S2-L,125,600,1 layer x 2no,2T16,402,20,94,104,79,104,0.259,PASS,PASS,1 layer x 2no,2T16,402,80,94,104,322,322,0.801,PASS,PASS,46,2,6,175,323.1352444,91,46,0.505494505,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
5,2B1-S2-M,125,600,1 layer x 2no,2T16,402,51,94,104,201,201,0.5,PASS,PASS,1 layer x 2no,2T12,226,20,94,106,79,106,0.469,PASS,PASS,46,2,6,175,323.1352444,91,46,0.505494505,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
6,2B1-S2-R,125,600,1 layer x 2no,2T16,402,37,94,104,146,146,0.363,PASS,PASS,1 layer x 2no,2T20,628,75,93,103,302,302,0.481,PASS,FAIL,46,2,6,175,323.1352444,91,46,0.505494505,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
7,2B1-S3-L,125,600,1 layer x 2no,2T16,402,20,94,104,79,104,0.259,PASS,PASS,1 layer x 2no,2T20,628,75,93,103,302,302,0.481,PASS,FAIL,46,2,6,175,323.1352444,91,46,0.505494505,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
8,2B1-S3-M,125,600,1 layer x 2no,2T16,402,53,94,104,209,209,0.52,PASS,PASS,1 layer x 2no,2T12,226,19,94,106,75,106,0.469,PASS,PASS,46,2,6,175,323.1352444,91,46,0.505494505,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
9,2B1-S3-R,125,600,1 layer x 2no,2T16,402,37,94,104,146,146,0.363,PASS,PASS,1 layer x 2no,2T16,402,74,94,104,296,296,0.736,PASS,PASS,46,2,6,175,323.1352444,91,46,0.505494505,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
10,2B1-S4-L,125,600,1 layer x 2no,2T16,402,20,94,104,79,104,0.259,PASS,PASS,1 layer x 2no,2T16,402,74,94,104,296,296,0.736,PASS,PASS,47,2,6,175,323.1352444,91,47,0.516483516,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
11,2B1-S4-M,125,600,1 layer x 2no,2T16,402,53,94,104,209,209,0.52,PASS,PASS,1 layer x 2no,2T12,226,19,94,106,75,106,0.469,PASS,PASS,46,2,6,175,323.1352444,91,47,0.516483516,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
12,2B1-S4-R,125,600,1 layer x 2no,2T16,402,37,94,104,146,146,0.363,PASS,PASS,1 layer x 2no,2T20,628,74,93,103,297,297,0.473,PASS,FAIL,46,2,6,175,323.1352444,91,47,0.516483516,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
13,2B1-S5-L,125,600,1 layer x 2no,2T16,402,20,94,104,79,104,0.259,PASS,PASS,1 layer x 2no,2T20,628,74,93,103,297,297,0.473,PASS,FAIL,46,2,6,175,323.1352444,91,47,0.516483516,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
14,2B1-S5-M,125,600,1 layer x 2no,2T16,402,53,94,104,209,209,0.52,PASS,PASS,1 layer x 2no,2T12,226,19,94,106,75,106,0.469,PASS,PASS,46,2,6,175,323.1352444,91,47,0.516483516,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
15,2B1-S5-R,125,600,1 layer x 2no,2T16,402,37,94,104,146,146,0.363,PASS,PASS,1 layer x 2no,2T16,402,74,94,104,296,296,0.736,PASS,PASS,46,2,6,175,323.1352444,91,47,0.516483516,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
16,2B1-S6-L,125,600,1 layer x 2no,2T16,402,20,94,104,79,104,0.259,PASS,PASS,1 layer x 2no,2T16,402,74,94,104,296,296,0.736,PASS,PASS,47,2,6,175,323.1352444,91,47,0.516483516,PASS,2B1_Beam_Audit_Table R1 No Fill.csv
